Region,NitrogenDioxideAvg2017_18
East Midlands ,43
East of England,53
London,34
North East,35
North East,32
South East,57
South West,47
West Midlands,38
Yorkshire and The Humber,40
Northern Ireland,56
Scotland ,57
Wales,39
,
,
,
,
,
,
,
,
,
,
,
,
