Region,NitrogenDioxideAvg2017_18
East Midlands ,35
East of England,28
London,24
North East,29
North East,50
South East,19
South West,40
West Midlands,25
Yorkshire and The Humber,31
Northern Ireland,50
Scotland ,19
Wales,24
