Date,London Mean Roadside PM2_5,London Mean Background PM2_5
01/01/2017,31,25
01/02/2017,26,21
01/03/2017,23,18
01/04/2017,22,18
01/05/2017,22,18
01/06/2017,21,16
01/07/2017,17,13
01/08/2017,18,14
01/09/2017,19,14
01/10/2017,20,16
01/11/2017,23,17
01/12/2017,18,13
01/01/2018,19,15
01/02/2018,23,17
01/03/2018,26,20
01/04/2018,26,21
01/05/2018,29,24
01/06/2018,21,17
01/07/2018,23,19
01/08/2018,16,12
01/09/2018,19,14
01/10/2018,19,15
01/11/2018,24,20
01/12/2018,20,15
