Region,ParticulateMatter10_Avg2017_18
East Midlands ,11
East of England,12
London,14
North East,8
North East,10
South East,15
South West,10
West Midlands,10
Yorkshire and The Humber,11
Northern Ireland,9
Scotland ,7
Wales,14
